bus_id,bus_name,is_slack,base_kv,x,y
1,GRID,1,12.66,0,0
2,Regular #1,0,12.66,0,1
3,ESS,0,12.66,0,2
4,Regular #2,0,12.66,0,3
5,Regular #3,0,12.66,0,4
6,Regular #4,0,12.66,0,5
7,Regular #5,0,12.66,0,6
8,Regular #6,0,12.66,0,7
9,Regular #7,0,12.66,0,8
10,Regular #8,0,12.66,0,9
11,Cold-Ironing #1,0,12.66,0,10
12,Regular #9,0,12.66,0,11
13,Regular #10,0,12.66,0,12
14,Reefer group #4,0,12.66,0,13
15,Regular #11,0,12.66,0,14
16,Regular #12,0,12.66,0,15
17,Regular #13,0,12.66,0,16
18,Reefer group #5,0,12.66,0,17
19,Regular #13,0,12.66,1,2
20,Regular #14,0,12.66,1,3
21,Reefer group #1,0,12.66,1,4
22,Regular #15,0,12.66,1,5
23,Reefer group #3,0,12.66,-1,3
24,Regular #16,0,12.66,-1,4
25,Regular #17,0,12.66,-1,5
26,Regular #18,0,12.66,1,6
27,Regular #19,0,12.66,1,7
28,Regular #20,0,12.66,1,8
29,Regular #21,0,12.66,1,9
30,Reefer group #2,0,12.66,1,10
31,Cold-Ironing #1,0,12.66,1,11
32,Regular #22,0,12.66,1,12
33,Regular #23,0,12.66,1,13
