line_id,from_bus,to_bus,r,x,rate_kw
L1,1,2,0.005752591,0.005752591,10000
L2,2,3,0.030759517,0.030759517,10000
L3,3,4,0.022835666,0.022835666,10000
L4,4,5,0.023777793,0.023777793,10000
L5,5,6,0.051099481,0.051099481,10000
L6,6,7,0.011679881,0.011679881,10000
L7,7,8,0.044386045,0.044386045,10000
L8,8,9,0.064264305,0.064264305,10000
L9,9,10,0.0651378,0.0651378,10000
L10,10,11,0.012266371,0.012266371,10000
L11,11,12,0.023359763,0.023359763,10000
L12,12,13,0.091592232,0.091592232,10000
L13,13,14,0.033791794,0.033791794,10000
L14,14,15,0.036873985,0.036873985,10000
L15,15,16,0.046563544,0.046563544,10000
L16,16,17,0.08042397,0.08042397,10000
L17,17,18,0.045671331,0.045671331,10000
L18,2,19,0.010232375,0.010232375,10000
L19,19,20,0.093850842,0.093850842,10000
L20,20,21,0.025549741,0.025549741,10000
L21,21,22,0.044230064,0.044230064,10000
L22,3,23,0.028151509,0.028151509,10000
L23,23,24,0.056028491,0.056028491,10000
L24,24,25,0.055903706,0.055903706,10000
L25,6,26,0.012665683,0.012665683,10000
L26,26,27,0.017731957,0.017731957,10000
L27,27,28,0.066073688,0.066073688,10000
L28,28,29,0.050176072,0.050176072,10000
L29,29,30,0.031664208,0.031664208,10000
L30,30,31,0.06079528,0.06079528,10000
L31,31,32,0.01937288,0.01937288,10000
L32,32,33,0.021275852,0.021275852,10000
