bus_id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13.6832849,12.84340681,12.12418342,11.54520584,10.97246429,10.58171696,10.29469915,10,10.0266276,10.08165601,10.37494543,10.58946981,11.0571358,11.54562603,12.26286863,12.70090921,13.28896,13.61453748,13.95156313,14.13477532,14.44288463,14.73576714,15.03556663,15.4056549,15.70651671,16.06585344,16.45410025,16.81008967,17.24737003,17.63674181,17.99430671,18.40338471,18.83823268,19.25961425,19.64258963,20,19.95991256,19.83439645,19.55344403,19.12680928,18.28982052,17.74386833,17.31831279,16.73741144,15.93604972,14.93493778,13.85833255,12.97654955
3,12.31495641,11.55906613,10.91176508,10.39068526,9.875217857,9.523545265,9.265229234,9,9.023964837,9.073490409,9.337450887,9.530522827,9.951422216,10.39106343,11.03658177,11.43081829,11.960064,12.25308373,12.55640681,12.72129779,12.99859616,13.26219042,13.53200996,13.86508941,14.13586503,14.4592681,14.80869022,15.12908071,15.52263302,15.87306763,16.19487604,16.56304624,16.95440941,17.33365283,17.67833067,18,17.96392131,17.8509568,17.59809963,17.21412835,16.46083847,15.96948149,15.58648151,15.06367029,14.34244475,13.441444,12.4724993,11.67889459
4,16.41994188,15.41208817,14.5490201,13.85424701,13.16695714,12.69806035,12.35363898,12,12.03195312,12.09798721,12.44993452,12.70736377,13.26856295,13.85475124,14.71544236,15.24109105,15.946752,16.33744498,16.74187575,16.96173038,17.33146155,17.68292057,18.04267995,18.48678587,18.84782005,19.27902413,19.7449203,20.17210761,20.69684403,21.16409017,21.59316805,22.08406165,22.60587922,23.1115371,23.57110755,24,23.95189508,23.80127574,23.46413284,22.95217113,21.94778462,21.29264199,20.78197535,20.08489372,19.12325966,17.92192534,16.62999906,15.57185946
5,8.209970942,7.706044084,7.274510051,6.927123504,6.583478572,6.349030176,6.176819489,6,6.015976558,6.048993606,6.224967258,6.353681885,6.634281477,6.927375619,7.357721178,7.620545525,7.973376,8.168722489,8.370937876,8.480865191,8.665730776,8.841460283,9.021339975,9.243392937,9.423910023,9.639512065,9.872460149,10.0860538,10.34842202,10.58204509,10.79658403,11.04203082,11.30293961,11.55576855,11.78555378,12,11.97594754,11.90063787,11.73206642,11.47608557,10.97389231,10.646321,10.39098767,10.04244686,9.561629831,8.96096267,8.314999532,7.78592973
6,8.209970942,7.706044084,7.274510051,6.927123504,6.583478572,6.349030176,6.176819489,6,6.015976558,6.048993606,6.224967258,6.353681885,6.634281477,6.927375619,7.357721178,7.620545525,7.973376,8.168722489,8.370937876,8.480865191,8.665730776,8.841460283,9.021339975,9.243392937,9.423910023,9.639512065,9.872460149,10.0860538,10.34842202,10.58204509,10.79658403,11.04203082,11.30293961,11.55576855,11.78555378,12,11.97594754,11.90063787,11.73206642,11.47608557,10.97389231,10.646321,10.39098767,10.04244686,9.561629831,8.96096267,8.314999532,7.78592973
7,27.36656981,25.68681361,24.24836684,23.09041168,21.94492857,21.16343392,20.5893983,20,20.05325519,20.16331202,20.74989086,21.17893962,22.11427159,23.09125206,24.52573726,25.40181842,26.57792,27.22907496,27.90312625,28.26955064,28.88576925,29.47153428,30.07113325,30.81130979,31.41303341,32.13170688,32.9082005,33.62017935,34.49474005,35.27348362,35.98861342,36.80676941,37.67646537,38.5192285,39.28517926,40,39.91982513,39.6687929,39.10688807,38.25361855,36.57964104,35.48773665,34.63662558,33.47482287,31.87209944,29.86987557,27.71666511,25.9530991
8,27.36656981,25.68681361,24.24836684,23.09041168,21.94492857,21.16343392,20.5893983,20,20.05325519,20.16331202,20.74989086,21.17893962,22.11427159,23.09125206,24.52573726,25.40181842,26.57792,27.22907496,27.90312625,28.26955064,28.88576925,29.47153428,30.07113325,30.81130979,31.41303341,32.13170688,32.9082005,33.62017935,34.49474005,35.27348362,35.98861342,36.80676941,37.67646537,38.5192285,39.28517926,40,39.91982513,39.6687929,39.10688807,38.25361855,36.57964104,35.48773665,34.63662558,33.47482287,31.87209944,29.86987557,27.71666511,25.9530991
9,8.209970942,7.706044084,7.274510051,6.927123504,6.583478572,6.349030176,6.176819489,6,6.015976558,6.048993606,6.224967258,6.353681885,6.634281477,6.927375619,7.357721178,7.620545525,7.973376,8.168722489,8.370937876,8.480865191,8.665730776,8.841460283,9.021339975,9.243392937,9.423910023,9.639512065,9.872460149,10.0860538,10.34842202,10.58204509,10.79658403,11.04203082,11.30293961,11.55576855,11.78555378,12,11.97594754,11.90063787,11.73206642,11.47608557,10.97389231,10.646321,10.39098767,10.04244686,9.561629831,8.96096267,8.314999532,7.78592973
10,8.209970942,7.706044084,7.274510051,6.927123504,6.583478572,6.349030176,6.176819489,6,6.015976558,6.048993606,6.224967258,6.353681885,6.634281477,6.927375619,7.357721178,7.620545525,7.973376,8.168722489,8.370937876,8.480865191,8.665730776,8.841460283,9.021339975,9.243392937,9.423910023,9.639512065,9.872460149,10.0860538,10.34842202,10.58204509,10.79658403,11.04203082,11.30293961,11.55576855,11.78555378,12,11.97594754,11.90063787,11.73206642,11.47608557,10.97389231,10.646321,10.39098767,10.04244686,9.561629831,8.96096267,8.314999532,7.78592973
